# LXCat-format cross section (two columns)
# Process: e + H2 -> e + H(1s) + H(n=3)   (Hα proxy via H(n=3)->Hα)
# Units: Energy [eV], Cross section [m^2]
# Threshold Eth = 19.0 eV (sigma=0 below Eth)
# Fit model (Eth..1 keV): ln(sigma) = sum_{i=0..8} a_i * (ln(E))^i
# Extrapolation (1 keV..100 keV): sigma(E) = sigma(1 keV) * (1 keV / E)  (1/E decay)
# Columns: E_eV    sigma_m2
--------------------------------------------------
 7.68855541e+03   3.56527188e-20
 7.85194356e+03   3.49108348e-20
 8.01880383e+03   3.41843884e-20
 8.18921002e+03   3.34730583e-20
 8.36323748e+03   3.27765300e-20
 8.54096317e+03   3.20944955e-20
 8.72246568e+03   3.14266533e-20
 8.90782527e+03   3.07727079e-20
 9.09712390e+03   3.01323701e-20
 9.29044528e+03   2.95053570e-20
 9.48787490e+03   2.88913911e-20
 9.68950006e+03   2.82902010e-20
 9.89540993e+03   2.77015209e-20
 1.01056955e+04   2.71250903e-20
 1.03204499e+04   2.65606545e-20
 1.05397680e+04   2.60079639e-20
 1.07637467e+04   2.54667739e-20
 1.09924852e+04   2.49368454e-20
 1.12260846e+04   2.44179440e-20
 1.14646481e+04   2.39098402e-20
 1.17082814e+04   2.34123093e-20
 1.19570920e+04   2.29251313e-20
 1.22111901e+04   2.24480909e-20
 1.24706879e+04   2.19809770e-20
 1.27357003e+04   2.15235831e-20
 1.30063444e+04   2.10757070e-20
 1.32827400e+04   2.06371505e-20
 1.35650092e+04   2.02077198e-20
 1.38532768e+04   1.97872250e-20
 1.41476703e+04   1.93754801e-20
 1.44483200e+04   1.89723030e-20
 1.47553587e+04   1.85775155e-20
 1.50689222e+04   1.81909429e-20
 1.53891493e+04   1.78124144e-20
 1.57161814e+04   1.74417626e-20
 1.60501632e+04   1.70788235e-20
 1.63912424e+04   1.67234367e-20
 1.67395698e+04   1.63754450e-20
 1.70952994e+04   1.60346945e-20
 1.74585886e+04   1.57010346e-20
 1.78295980e+04   1.53743177e-20
 1.82084917e+04   1.50543993e-20
 1.85954372e+04   1.47411380e-20
 1.89906055e+04   1.44343952e-20
 1.93941716e+04   1.41340353e-20
 1.98063137e+04   1.38399254e-20
 2.02272142e+04   1.35519356e-20
 2.06570592e+04   1.32699385e-20
 2.10960387e+04   1.29938093e-20
 2.15443469e+04   1.27234260e-20
 2.20021820e+04   1.24586691e-20
 2.24697465e+04   1.21994213e-20
 2.29472472e+04   1.19455681e-20
 2.34348951e+04   1.16969973e-20
 2.39329059e+04   1.14535989e-20
 2.44414999e+04   1.12152652e-20
 2.49609019e+04   1.09818910e-20
 2.54913417e+04   1.07533730e-20
 2.60330537e+04   1.05296101e-20
 2.65862775e+04   1.03105034e-20
 2.71512579e+04   1.00959560e-20
 2.77282445e+04   9.88587304e-21
 2.83174925e+04   9.68016163e-21
 2.89192626e+04   9.47873079e-21
 2.95338208e+04   9.28149144e-21
 3.01614388e+04   9.08835638e-21
 3.08023942e+04   8.89924019e-21
 3.14569705e+04   8.71405925e-21
 3.21254570e+04   8.53273166e-21
 3.28081495e+04   8.35517726e-21
 3.35053497e+04   8.18131752e-21
 3.42173660e+04   8.01107556e-21
 3.49445132e+04   7.84437610e-21
 3.56871130e+04   7.68114543e-21
 3.64454935e+04   7.52131136e-21
 3.72199903e+04   7.36480322e-21
 3.80109458e+04   7.21155180e-21
